sam. 07 juin 2025 17:49:36 CEST, Surplus=-1483, Consigne CE=0, Réel CE=0.90, Cumul CE=2563
sam. 07 juin 2025 17:43:09 CEST, Surplus=0, Consigne CE=0, Réel CE=0.90, Cumul CE=2563
sam. 07 juin 2025 17:36:22 CEST, Surplus=0, Consigne CE=0, Réel CE=0.90, Cumul CE=2563
sam. 07 juin 2025 17:32:22 CEST, Surplus=0, Consigne CE=1, Réel CE=1.00, Cumul CE=2563
sam. 07 juin 2025 17:24:29 CEST, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=2563
sam. 07 juin 2025 17:19:24 CEST, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=2563
sam. 07 juin 2025 17:14:18 CEST, Surplus=-750, Consigne CE=0, Réel CE=290.60, Cumul CE=2563
sam. 07 juin 2025 17:09:12 CEST, Surplus=null, Consigne CE=295, Réel CE=295.50, Cumul CE=2563
sam. 07 juin 2025 17:04:06 CEST, Surplus=null, Consigne CE=291, Réel CE=291.40, Cumul CE=2539
sam. 07 juin 2025 16:59:00 CEST, Surplus=null, Consigne CE=309, Réel CE=309.70, Cumul CE=2515
sam. 07 juin 2025 16:53:54 CEST, Surplus=null, Consigne CE=281, Réel CE=281.60, Cumul CE=2490
sam. 07 juin 2025 16:48:48 CEST, Surplus=null, Consigne CE=291, Réel CE=291.40, Cumul CE=2467
sam. 07 juin 2025 16:43:43 CEST, Surplus=307, Consigne CE=307, Réel CE=0.90, Cumul CE=2443
sam. 07 juin 2025 16:38:37 CEST, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=2418
sam. 07 juin 2025 16:33:29 CEST, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=2418
sam. 07 juin 2025 16:28:23 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 16:23:18 CEST, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=2418
sam. 07 juin 2025 16:18:12 CEST, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=2418
sam. 07 juin 2025 16:13:06 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 16:08:00 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 16:02:55 CEST, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=2418
sam. 07 juin 2025 15:57:49 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 15:52:43 CEST, Surplus=-377, Consigne CE=0, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 15:47:38 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 15:42:32 CEST, Surplus=-237, Consigne CE=0, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 15:37:26 CEST, Surplus=null, Consigne CE=2, Réel CE=2.80, Cumul CE=2418
sam. 07 juin 2025 15:32:20 CEST, Surplus=995, Consigne CE=996, Réel CE=1.00, Cumul CE=2418
sam. 07 juin 2025 15:27:15 CEST, Surplus=null, Consigne CE=2, Réel CE=2.80, Cumul CE=2335
sam. 07 juin 2025 15:22:09 CEST, Surplus=1165, Consigne CE=1166, Réel CE=1.00, Cumul CE=2335
sam. 07 juin 2025 15:17:03 CEST, Surplus=null, Consigne CE=2, Réel CE=2.80, Cumul CE=2238
sam. 07 juin 2025 15:11:57 CEST, Surplus=992, Consigne CE=993, Réel CE=1.10, Cumul CE=2238
sam. 07 juin 2025 15:06:51 CEST, Surplus=null, Consigne CE=2, Réel CE=2.90, Cumul CE=2156
sam. 07 juin 2025 15:01:46 CEST, Surplus=1005, Consigne CE=1006, Réel CE=1.10, Cumul CE=2156
sam. 07 juin 2025 14:56:40 CEST, Surplus=null, Consigne CE=1, Réel CE=1.10, Cumul CE=2073
sam. 07 juin 2025 14:51:34 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2073
sam. 07 juin 2025 14:46:28 CEST, Surplus=null, Consigne CE=1, Réel CE=1.10, Cumul CE=2073
sam. 07 juin 2025 14:41:22 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2073
sam. 07 juin 2025 14:36:17 CEST, Surplus=null, Consigne CE=1, Réel CE=1.10, Cumul CE=2073
sam. 07 juin 2025 14:31:11 CEST, Surplus=null, Consigne CE=1, Réel CE=1.10, Cumul CE=2073
sam. 07 juin 2025 14:26:05 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2073
sam. 07 juin 2025 14:20:59 CEST, Surplus=null, Consigne CE=1, Réel CE=1.10, Cumul CE=2073
sam. 07 juin 2025 14:15:53 CEST, Surplus=null, Consigne CE=1, Réel CE=1.00, Cumul CE=2073
sam. 07 juin 2025 14:10:47 CEST, Surplus=null, Consigne CE=2, Réel CE=2.80, Cumul CE=2073
sam. 07 juin 2025 14:05:42 CEST, Surplus=1513, Consigne CE=1514, Réel CE=1.10, Cumul CE=2073
sam. 07 juin 2025 14:00:36 CEST, Surplus=null, Consigne CE=2, Réel CE=2.80, Cumul CE=1947
sam. 07 juin 2025 13:55:30 CEST, Surplus=1149, Consigne CE=1150, Réel CE=1.00, Cumul CE=1947
sam. 07 juin 2025 13:50:24 CEST, Surplus=null, Consigne CE=1, Réel CE=1.10, Cumul CE=1852
sam. 07 juin 2025 13:45:18 CEST, Surplus=null, Consigne CE=2, Réel CE=2.80, Cumul CE=1852
sam. 07 juin 2025 13:40:13 CEST, Surplus=1216, Consigne CE=1218, Réel CE=2.80, Cumul CE=1852
sam. 07 juin 2025 13:35:07 CEST, Surplus=1321, Consigne CE=1323, Réel CE=2.80, Cumul CE=1751
sam. 07 juin 2025 13:30:01 CEST, Surplus=1370, Consigne CE=1372, Réel CE=2.80, Cumul CE=1641
sam. 07 juin 2025 13:24:55 CEST, Surplus=1457, Consigne CE=1459, Réel CE=2.80, Cumul CE=1527
sam. 07 juin 2025 13:19:49 CEST, Surplus=1460, Consigne CE=1462, Réel CE=2.80, Cumul CE=1406
sam. 07 juin 2025 13:14:44 CEST, Surplus=1545, Consigne CE=1547, Réel CE=2.80, Cumul CE=1285
sam. 07 juin 2025 13:09:38 CEST, Surplus=471, Consigne CE=1590, Réel CE=1119.20, Cumul CE=1157
sam. 07 juin 2025 13:04:32 CEST, Surplus=592, Consigne CE=1952, Réel CE=1360.10, Cumul CE=1025
sam. 07 juin 2025 12:59:26 CEST, Surplus=755, Consigne CE=1488, Réel CE=733.80, Cumul CE=863
sam. 07 juin 2025 12:54:20 CEST, Surplus=-340, Consigne CE=744, Réel CE=1084.00, Cumul CE=739
sam. 07 juin 2025 12:49:14 CEST, Surplus=470, Consigne CE=1548, Réel CE=1078.40, Cumul CE=677
sam. 07 juin 2025 12:44:09 CEST, Surplus=270, Consigne CE=1661, Réel CE=1391.70, Cumul CE=548
sam. 07 juin 2025 12:39:03 CEST, Surplus=917, Consigne CE=1431, Réel CE=514.50, Cumul CE=410
sam. 07 juin 2025 12:33:57 CEST, Surplus=-696, Consigne CE=457, Réel CE=1153.80, Cumul CE=291
sam. 07 juin 2025 12:28:51 CEST, Surplus=-92, Consigne CE=1442, Réel CE=1534.20, Cumul CE=253
sam. 07 juin 2025 12:23:45 CEST, Surplus=1603, Consigne CE=1604, Réel CE=1.00, Cumul CE=133
sam. 07 juin 2025 12:18:39 CEST, Surplus=-1507, Consigne CE=0, Réel CE=1278.40, Cumul CE=0
sam. 07 juin 2025 12:15:28 CEST, Surplus=225, Consigne CE=1491, Réel CE=1266.90, Cumul CE=124
sam. 07 juin 2025 12:12:56 CEST, Surplus=291, Consigne CE=1271, Réel CE=980.30, Cumul CE=105
sam. 07 juin 2025 12:11:55 CEST, EDF=HP BLUE, Surplus=291, Consigne CE=950, Réel CE=659.70, Cumul CE=137
sam. 07 juin 2025 12:06:46 CEST, EDF=HP BLUE, Surplus=-469, Consigne CE=699, Réel CE=1168.40, Cumul CE=58
sam. 07 juin 2025 12:04:15 CEST, EDF=HP BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
sam. 07 juin 2025 12:00:46 CEST, EDF=HP BLUE, Surplus=-175, Consigne CE=1415, Réel CE=1590.40, Cumul CE=1360
sam. 07 juin 2025 11:55:38 CEST, EDF=HP BLUE, Surplus=202, Consigne CE=1736, Réel CE=1534.50, Cumul CE=1243
sam. 07 juin 2025 11:50:30 CEST, EDF=HP BLUE, Surplus=918, Consigne CE=1451, Réel CE=533.60, Cumul CE=1099
sam. 07 juin 2025 11:45:22 CEST, EDF=HP BLUE, Surplus=-1148, Consigne CE=552, Réel CE=1700.90, Cumul CE=979
sam. 07 juin 2025 11:40:13 CEST, EDF=HP BLUE, Surplus=-53, Consigne CE=1619, Réel CE=1672.10, Cumul CE=933
sam. 07 juin 2025 11:35:05 CEST, EDF=HP BLUE, Surplus=1430, Consigne CE=1592, Réel CE=162.70, Cumul CE=799
sam. 07 juin 2025 11:29:59 CEST, EDF=HP BLUE, Surplus=-1165, Consigne CE=167, Réel CE=1332.50, Cumul CE=667
sam. 07 juin 2025 11:24:54 CEST, EDF=HP BLUE, Surplus=232, Consigne CE=1356, Réel CE=1124.50, Cumul CE=654
sam. 07 juin 2025 11:19:45 CEST, EDF=HP BLUE, Surplus=1252, Consigne CE=1253, Réel CE=1.00, Cumul CE=541
sam. 07 juin 2025 11:14:38 CEST, EDF=HP BLUE, Surplus=-449, Consigne CE=0, Réel CE=1.00, Cumul CE=437
sam. 07 juin 2025 11:09:30 CEST, EDF=HP BLUE, Surplus=-910, Consigne CE=0, Réel CE=736.40, Cumul CE=437
sam. 07 juin 2025 11:04:22 CEST, EDF=HP BLUE, Surplus=704, Consigne CE=705, Réel CE=1.00, Cumul CE=437
sam. 07 juin 2025 10:59:14 CEST, EDF=HP BLUE, Surplus=-254, Consigne CE=22, Réel CE=276.40, Cumul CE=379
sam. 07 juin 2025 10:54:06 CEST, EDF=HP BLUE, Surplus=156, Consigne CE=283, Réel CE=127.10, Cumul CE=378
sam. 07 juin 2025 10:49:00 CEST, EDF=HP BLUE, Surplus=-70, Consigne CE=118, Réel CE=188.70, Cumul CE=355
sam. 07 juin 2025 10:43:54 CEST, EDF=HP BLUE, Surplus=-567, Consigne CE=184, Réel CE=751.90, Cumul CE=346
sam. 07 juin 2025 10:38:46 CEST, EDF=HP BLUE, Surplus=-909, Consigne CE=799, Réel CE=1708.00, Cumul CE=331
sam. 07 juin 2025 10:33:40 CEST, EDF=HP BLUE, Surplus=907, Consigne CE=1719, Réel CE=812.90, Cumul CE=265
sam. 07 juin 2025 10:28:32 CEST, EDF=HP BLUE, Surplus=53, Consigne CE=763, Réel CE=710.70, Cumul CE=122
sam. 07 juin 2025 10:23:26 CEST, EDF=HP BLUE, Surplus=716, Consigne CE=717, Réel CE=1.00, Cumul CE=59
sam. 07 juin 2025 09:47:49 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
sam. 07 juin 2025 09:46:58 CEST, EDF=HC BLUE, Surplus=-422, Consigne CE=2, Réel CE=424.90, Cumul CE=0
sam. 07 juin 2025 09:44:54 CEST, EDF=HC BLUE, Surplus=-422, Consigne CE=392, Réel CE=814.50, Cumul CE=413
sam. 07 juin 2025 09:39:46 CEST, EDF=HC BLUE, Surplus=208, Consigne CE=781, Réel CE=573.30, Cumul CE=381
sam. 07 juin 2025 09:34:38 CEST, EDF=HC BLUE, Surplus=309, Consigne CE=579, Réel CE=270.20, Cumul CE=316
sam. 07 juin 2025 09:29:32 CEST, EDF=HC BLUE, Surplus=86, Consigne CE=273, Réel CE=187.20, Cumul CE=268
sam. 07 juin 2025 09:24:24 CEST, EDF=HC BLUE, Surplus=78, Consigne CE=181, Réel CE=103.20, Cumul CE=246
sam. 07 juin 2025 09:19:16 CEST, EDF=HC BLUE, Surplus=-146, Consigne CE=115, Réel CE=261.10, Cumul CE=231
sam. 07 juin 2025 09:14:08 CEST, EDF=HC BLUE, Surplus=-840, Consigne CE=264, Réel CE=1104.30, Cumul CE=222
sam. 07 juin 2025 09:09:02 CEST, EDF=HC BLUE, Surplus=42, Consigne CE=1047, Réel CE=1005.60, Cumul CE=200
sam. 07 juin 2025 09:03:54 CEST, EDF=HC BLUE, Surplus=847, Consigne CE=1048, Réel CE=201.90, Cumul CE=113
sam. 07 juin 2025 08:58:46 CEST, EDF=HC BLUE, Surplus=217, Consigne CE=217, Réel CE=0.90, Cumul CE=26
sam. 07 juin 2025 08:53:38 CEST, EDF=HC BLUE, Surplus=51, Consigne CE=51, Réel CE=0.90, Cumul CE=8
sam. 07 juin 2025 08:48:32 CEST, EDF=HC BLUE, Surplus=-145, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:43:25 CEST, EDF=HC BLUE, Surplus=-57, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:38:17 CEST, EDF=HC BLUE, Surplus=-119, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:33:09 CEST, EDF=HC BLUE, Surplus=-117, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:28:01 CEST, EDF=HC BLUE, Surplus=-127, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:22:53 CEST, EDF=HC BLUE, Surplus=-310, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:17:45 CEST, EDF=HC BLUE, Surplus=-226, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:12:37 CEST, EDF=HC BLUE, Surplus=-248, Consigne CE=0, Réel CE=1.00, Cumul CE=4
sam. 07 juin 2025 08:07:29 CEST, EDF=HC BLUE, Surplus=-317, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 08:02:21 CEST, EDF=HC BLUE, Surplus=-342, Consigne CE=0, Réel CE=1.00, Cumul CE=4
sam. 07 juin 2025 07:57:14 CEST, EDF=HP BLUE, Surplus=-277, Consigne CE=0, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 07:52:06 CEST, EDF=HP BLUE, Surplus=53, Consigne CE=53, Réel CE=0.90, Cumul CE=4
sam. 07 juin 2025 07:46:58 CEST, EDF=HP BLUE, Surplus=-79, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 07:41:50 CEST, EDF=HP BLUE, Surplus=-357, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 07:36:42 CEST, EDF=HP BLUE, Surplus=-229, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 07:31:34 CEST, EDF=HP BLUE, Surplus=-274, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 07:26:26 CEST, EDF=HP BLUE, Surplus=, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 07:19:24 CEST, EDF=HP BLUE, Surplus=-364, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 07:14:16 CEST, EDF=HP BLUE, Surplus=-255, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 07:09:08 CEST, EDF=HP BLUE, Surplus=-226, Consigne CE=0, Réel CE=1.00, Cumul CE=0
